"Step","cfq/curr_chia_htl_20 - validation/test/accuracy/total","cfq/curr_chia_htl_20 - validation/test/accuracy/total__MIN","cfq/curr_chia_htl_20 - validation/test/accuracy/total__MAX","cfq/curr_chia_etl_20 - validation/test/accuracy/total","cfq/curr_chia_etl_20 - validation/test/accuracy/total__MIN","cfq/curr_chia_etl_20 - validation/test/accuracy/total__MAX","cfq/curr_chia_amb_20 - validation/test/accuracy/total","cfq/curr_chia_amb_20 - validation/test/accuracy/total__MIN","cfq/curr_chia_amb_20 - validation/test/accuracy/total__MAX","cfq_full_42 - validation/test/accuracy/total","cfq_full_42 - validation/test/accuracy/total__MIN","cfq_full_42 - validation/test/accuracy/total__MAX","curr/cfq/inv_ppl_htl_20 - validation/test/accuracy/total","curr/cfq/inv_ppl_htl_20 - validation/test/accuracy/total__MIN","curr/cfq/inv_ppl_htl_20 - validation/test/accuracy/total__MAX","curr/cfq/inv_ppl_etl_20 - validation/test/accuracy/total","curr/cfq/inv_ppl_etl_20 - validation/test/accuracy/total__MIN","curr/cfq/inv_ppl_etl_20 - validation/test/accuracy/total__MAX","curr/cfq/inv_ppl_amb_20 - validation/test/accuracy/total","curr/cfq/inv_ppl_amb_20 - validation/test/accuracy/total__MIN","curr/cfq/inv_ppl_amb_20 - validation/test/accuracy/total__MAX","curr/cfq/bleu_htl_20 - validation/test/accuracy/total","curr/cfq/bleu_htl_20 - validation/test/accuracy/total__MIN","curr/cfq/bleu_htl_20 - validation/test/accuracy/total__MAX","curr/cfq/bleu_etl_20 - validation/test/accuracy/total","curr/cfq/bleu_etl_20 - validation/test/accuracy/total__MIN","curr/cfq/bleu_etl_20 - validation/test/accuracy/total__MAX","curr/cfq/bleu_amb_20 - validation/test/accuracy/total","curr/cfq/bleu_amb_20 - validation/test/accuracy/total__MIN","curr/cfq/bleu_amb_20 - validation/test/accuracy/total__MAX"
"1199","0.10561497326203209","0.10561497326203209","0.10561497326203209","0.0472927807486631","0.0472927807486631","0.0472927807486631","0.08380681818181818","0.08380681818181818","0.08380681818181818","0.3397393048128342","0.3397393048128342","0.3397393048128342","0.19167780748663102","0.19167780748663102","0.19167780748663102","0.055815508021390375","0.055815508021390375","0.055815508021390375","0.06542446524064172","0.06542446524064172","0.06542446524064172","0.1883355614973262","0.1883355614973262","0.1883355614973262","0.06392045454545454","0.06392045454545454","0.06392045454545454","0.08990641711229946","0.08990641711229946","0.08990641711229946"
"1270","0.12098930481283422","0.12098930481283422","0.12098930481283422","0.046122994652406414","0.046122994652406414","0.046122994652406414","0.08539438502673796","0.08539438502673796","0.08539438502673796","0.3358957219251337","0.3358957219251337","0.3358957219251337","0.20897393048128343","0.20897393048128343","0.20897393048128343","0.05815508021390375","0.05815508021390375","0.05815508021390375","0.0699364973262032","0.0699364973262032","0.0699364973262032","0.20538101604278075","0.20538101604278075","0.20538101604278075","0.056734625668449196","0.056734625668449196","0.056734625668449196","0.09567179144385027","0.09567179144385027","0.09567179144385027"
"1341","0.12717245989304812","0.12717245989304812","0.12717245989304812","0.04787767379679144","0.04787767379679144","0.04787767379679144","0.09784425133689839","0.09784425133689839","0.09784425133689839","0.332302807486631","0.332302807486631","0.332302807486631","0.21991978609625668","0.21991978609625668","0.21991978609625668","0.05121991978609625","0.05121991978609625","0.05121991978609625","0.0711898395721925","0.0711898395721925","0.0711898395721925","0.2298629679144385","0.2298629679144385","0.2298629679144385","0.05447860962566845","0.05447860962566845","0.05447860962566845","0.09141042780748664","0.09141042780748664","0.09141042780748664"
"1411","0.13018048128342247","0.13018048128342247","0.13018048128342247","0.047543449197860965","0.047543449197860965","0.047543449197860965","0.09659090909090909","0.09659090909090909","0.09659090909090909","0.34299799465240643","0.34299799465240643","0.34299799465240643","0.22359625668449198","0.22359625668449198","0.22359625668449198","0.05614973262032086","0.05614973262032086","0.05614973262032086","0.06592580213903744","0.06592580213903744","0.06592580213903744","0.2207553475935829","0.2207553475935829","0.2207553475935829","0.05506350267379679","0.05506350267379679","0.05506350267379679","0.10127005347593583","0.10127005347593583","0.10127005347593583"
"1482","0.13803475935828877","0.13803475935828877","0.13803475935828877","0.04862967914438503","0.04862967914438503","0.04862967914438503","0.09792780748663102","0.09792780748663102","0.09792780748663102","0.3417446524064171","0.3417446524064171","0.3417446524064171","0.23654745989304812","0.23654745989304812","0.23654745989304812","0.05230614973262032","0.05230614973262032","0.05230614973262032","0.0706885026737968","0.0706885026737968","0.0706885026737968","0.25275735294117646","0.25275735294117646","0.25275735294117646","0.05857286096256684","0.05857286096256684","0.05857286096256684","0.10051804812834225","0.10051804812834225","0.10051804812834225"
"1553","0.20939171122994651","0.20939171122994651","0.20939171122994651","0.0699364973262032","0.0699364973262032","0.0699364973262032","0.13619652406417113","0.13619652406417113","0.13619652406417113","0.34199532085561496","0.34199532085561496","0.34199532085561496","0.25467914438502676","0.25467914438502676","0.25467914438502676","0.06751336898395723","0.06751336898395723","0.06751336898395723","0.0950033422459893","0.0950033422459893","0.0950033422459893","0.2867647058823529","0.2867647058823529","0.2867647058823529","0.07160762032085562","0.07160762032085562","0.07160762032085562","0.12984625668449198","0.12984625668449198","0.12984625668449198"
"1623","0.23679812834224598","0.23679812834224598","0.23679812834224598","0.07653743315508021","0.07653743315508021","0.07653743315508021","0.15165441176470587","0.15165441176470587","0.15165441176470587","0.3383188502673797","0.3383188502673797","0.3383188502673797","0.2870153743315508","0.2870153743315508","0.2870153743315508","0.07018716577540107","0.07018716577540107","0.07018716577540107","0.08982286096256685","0.08982286096256685","0.08982286096256685","0.2832553475935829","0.2832553475935829","0.2832553475935829","0.0723596256684492","0.0723596256684492","0.0723596256684492","0.1287600267379679","0.1287600267379679","0.1287600267379679"
"1694","0.24239639037433156","0.24239639037433156","0.24239639037433156","0.08104946524064172","0.08104946524064172","0.08104946524064172","0.14856283422459893","0.14856283422459893","0.14856283422459893","0.3536931818181818","0.3536931818181818","0.3536931818181818","0.2892713903743315","0.2892713903743315","0.2892713903743315","0.06918449197860962","0.06918449197860962","0.06918449197860962","0.09851270053475936","0.09851270053475936","0.09851270053475936","0.28810160427807485","0.28810160427807485","0.28810160427807485","0.06275066844919786","0.06275066844919786","0.06275066844919786","0.14363302139037434","0.14363302139037434","0.14363302139037434"
"1764","0.2509191176470588","0.2509191176470588","0.2509191176470588","0.07595254010695188","0.07595254010695188","0.07595254010695188","0.14212901069518716","0.14212901069518716","0.14212901069518716","0.34567179144385024","0.34567179144385024","0.34567179144385024","0.2964572192513369","0.2964572192513369","0.2964572192513369","0.06893382352941177","0.06893382352941177","0.06893382352941177","0.09893048128342247","0.09893048128342247","0.09893048128342247","0.2882687165775401","0.2882687165775401","0.2882687165775401","0.06392045454545454","0.06392045454545454","0.06392045454545454","0.14070855614973263","0.14070855614973263","0.14070855614973263"
"1835","0.2645387700534759","0.2645387700534759","0.2645387700534759","0.07637032085561497","0.07637032085561497","0.07637032085561497","0.1657754010695187","0.1657754010695187","0.1657754010695187","0.3381517379679144","0.3381517379679144","0.3381517379679144","0.29670788770053474","0.29670788770053474","0.29670788770053474","0.07378008021390374","0.07378008021390374","0.07378008021390374","0.09517045454545454","0.09517045454545454","0.09517045454545454","0.29311497326203206","0.29311497326203206","0.29311497326203206","0.06483957219251336","0.06483957219251336","0.06483957219251336","0.13093248663101603","0.13093248663101603","0.13093248663101603"
