"Step","cfq/curr_sort_chia_htl_20 - validation/test/accuracy/total","cfq/curr_sort_chia_htl_20 - validation/test/accuracy/total__MIN","cfq/curr_sort_chia_htl_20 - validation/test/accuracy/total__MAX","cfq/curr_sort_chia_etl_20 - validation/test/accuracy/total","cfq/curr_sort_chia_etl_20 - validation/test/accuracy/total__MIN","cfq/curr_sort_chia_etl_20 - validation/test/accuracy/total__MAX","cfq/curr_sort_chia_amb_20 - validation/test/accuracy/total","cfq/curr_sort_chia_amb_20 - validation/test/accuracy/total__MIN","cfq/curr_sort_chia_amb_20 - validation/test/accuracy/total__MAX","cfq_full_42 - validation/test/accuracy/total","cfq_full_42 - validation/test/accuracy/total__MIN","cfq_full_42 - validation/test/accuracy/total__MAX","curr_sort/cfq/bl_htl_20 - validation/test/accuracy/total","curr_sort/cfq/bl_htl_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/bl_htl_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/ip_htl_20 - validation/test/accuracy/total","curr_sort/cfq/ip_htl_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/ip_htl_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/ip_etl_20 - validation/test/accuracy/total","curr_sort/cfq/ip_etl_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/ip_etl_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/ip_amb_20 - validation/test/accuracy/total","curr_sort/cfq/ip_amb_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/ip_amb_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/bl_etl_20 - validation/test/accuracy/total","curr_sort/cfq/bl_etl_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/bl_etl_20 - validation/test/accuracy/total__MAX","curr_sort/cfq/bl_amb_20 - validation/test/accuracy/total","curr_sort/cfq/bl_amb_20 - validation/test/accuracy/total__MIN","curr_sort/cfq/bl_amb_20 - validation/test/accuracy/total__MAX"
"776","0.2852606951871658","0.2852606951871658","0.2852606951871658","0.13302139037433156","0.13302139037433156","0.13302139037433156","0.18866978609625668","0.18866978609625668","0.18866978609625668","0.29169451871657753","0.29169451871657753","0.29169451871657753","0.3029745989304813","0.3029745989304813","0.3029745989304813","0.30197192513368987","0.30197192513368987","0.30197192513368987","0.11798128342245989","0.11798128342245989","0.11798128342245989","0.13845254010695188","0.13845254010695188","0.13845254010695188","0.10018382352941177","0.10018382352941177","0.10018382352941177","0.16193181818181818","0.16193181818181818","0.16193181818181818"
"846","0.2802473262032086","0.2802473262032086","0.2802473262032086","0.1447192513368984","0.1447192513368984","0.1447192513368984","0.17505013368983957","0.17505013368983957","0.17505013368983957","0.3114973262032086","0.3114973262032086","0.3114973262032086","0.3115808823529412","0.3115808823529412","0.3115808823529412","0.28258689839572193","0.28258689839572193","0.28258689839572193","0.11948529411764706","0.11948529411764706","0.11948529411764706","0.15182152406417113","0.15182152406417113","0.15182152406417113","0.10803810160427807","0.10803810160427807","0.10803810160427807","0.15466243315508021","0.15466243315508021","0.15466243315508021"
"917","0.2848429144385027","0.2848429144385027","0.2848429144385027","0.1738803475935829","0.1738803475935829","0.1738803475935829","0.1915942513368984","0.1915942513368984","0.1915942513368984","0.31074532085561496","0.31074532085561496","0.31074532085561496","0.31308489304812837","0.31308489304812837","0.31308489304812837","0.31174799465240643","0.31174799465240643","0.31174799465240643","0.1509024064171123","0.1509024064171123","0.1509024064171123","0.1714572192513369","0.1714572192513369","0.1714572192513369","0.12207553475935828","0.12207553475935828","0.12207553475935828","0.1792279411764706","0.1792279411764706","0.1792279411764706"
"987","0.27941176470588236","0.27941176470588236","0.27941176470588236","0.17404745989304812","0.17404745989304812","0.17404745989304812","0.21875","0.21875","0.21875","0.31074532085561496","0.31074532085561496","0.31074532085561496","0.33447526737967914","0.33447526737967914","0.33447526737967914","0.30873997326203206","0.30873997326203206","0.30873997326203206","0.15925802139037434","0.15925802139037434","0.15925802139037434","0.17287767379679145","0.17287767379679145","0.17287767379679145","0.14279745989304812","0.14279745989304812","0.14279745989304812","0.16176470588235295","0.16176470588235295","0.16176470588235295"
"1058","0.28968917112299464","0.28968917112299464","0.28968917112299464","0.18457553475935828","0.18457553475935828","0.18457553475935828","0.22259358288770054","0.22259358288770054","0.22259358288770054","0.3206885026737968","0.3206885026737968","0.3206885026737968","0.32127339572192515","0.32127339572192515","0.32127339572192515","0.3099097593582888","0.3099097593582888","0.3099097593582888","0.16218248663101603","0.16218248663101603","0.16218248663101603","0.1869986631016043","0.1869986631016043","0.1869986631016043","0.13761697860962566","0.13761697860962566","0.13761697860962566","0.19510360962566844","0.19510360962566844","0.19510360962566844"
"1129","0.29369986631016043","0.29369986631016043","0.29369986631016043","0.2195855614973262","0.2195855614973262","0.2195855614973262","0.2529244652406417","0.2529244652406417","0.2529244652406417","0.3358957219251337","0.3358957219251337","0.3358957219251337","0.314923128342246","0.314923128342246","0.314923128342246","0.3140875668449198","0.3140875668449198","0.3140875668449198","0.17028743315508021","0.17028743315508021","0.17028743315508021","0.19426804812834225","0.19426804812834225","0.19426804812834225","0.1620153743315508","0.1620153743315508","0.1620153743315508","0.21716243315508021","0.21716243315508021","0.21716243315508021"
"1199","0.3009692513368984","0.3009692513368984","0.3009692513368984","0.19025735294117646","0.19025735294117646","0.19025735294117646","0.24983288770053477","0.24983288770053477","0.24983288770053477","0.3397393048128342","0.3397393048128342","0.3397393048128342","0.3272058823529412","0.3272058823529412","0.3272058823529412","0.30205548128342247","0.30205548128342247","0.30205548128342247","0.19761029411764705","0.19761029411764705","0.19761029411764705","0.21983622994652408","0.21983622994652408","0.21983622994652408","0.19050802139037434","0.19050802139037434","0.19050802139037434","0.19460227272727273","0.19460227272727273","0.19460227272727273"
"1270","0.29871323529411764","0.29871323529411764","0.29871323529411764","0.2315340909090909","0.2315340909090909","0.2315340909090909","0.29612299465240643","0.29612299465240643","0.29612299465240643","0.3358957219251337","0.3358957219251337","0.3358957219251337","0.3337232620320856","0.3337232620320856","0.3337232620320856","0.3297125668449198","0.3297125668449198","0.3297125668449198","0.20120320855614973","0.20120320855614973","0.20120320855614973","0.23328877005347592","0.23328877005347592","0.23328877005347592","0.20212232620320855","0.20212232620320855","0.20212232620320855","0.2252673796791444","0.2252673796791444","0.2252673796791444"
"1341","0.2702205882352941","0.2702205882352941","0.2702205882352941","0.2351270053475936","0.2351270053475936","0.2351270053475936","0.2948696524064171","0.2948696524064171","0.2948696524064171","0.332302807486631","0.332302807486631","0.332302807486631","0.3292112299465241","0.3292112299465241","0.3292112299465241","0.3084893048128342","0.3084893048128342","0.3084893048128342","0.21081216577540107","0.21081216577540107","0.21081216577540107","0.2504177807486631","0.2504177807486631","0.2504177807486631","0.20036764705882354","0.20036764705882354","0.20036764705882354","0.24532085561497327","0.24532085561497327","0.24532085561497327"
"1411","0.3155080213903743","0.3155080213903743","0.3155080213903743","0.2553475935828877","0.2553475935828877","0.2553475935828877","0.3009692513368984","0.3009692513368984","0.3009692513368984","0.34299799465240643","0.34299799465240643","0.34299799465240643","0.31918449197860965","0.31918449197860965","0.31918449197860965","0.3400735294117647","0.3400735294117647","0.3400735294117647","0.22911096256684493","0.22911096256684493","0.22911096256684493","0.23178475935828877","0.23178475935828877","0.23178475935828877","0.22426470588235295","0.22426470588235295","0.22426470588235295","0.24055815508021391","0.24055815508021391","0.24055815508021391"
"1482","0.3286263368983957","0.3286263368983957","0.3286263368983957","0.28751671122994654","0.28751671122994654","0.28751671122994654","0.2993816844919786","0.2993816844919786","0.2993816844919786","0.3417446524064171","0.3417446524064171","0.3417446524064171","0.33480949197860965","0.33480949197860965","0.33480949197860965","0.32494986631016043","0.32494986631016043","0.32494986631016043","0.2616143048128342","0.2616143048128342","0.2616143048128342","0.2533422459893048","0.2533422459893048","0.2533422459893048","0.232620320855615","0.232620320855615","0.232620320855615","0.2596089572192513","0.2596089572192513","0.2596089572192513"
"1553","0.3195187165775401","0.3195187165775401","0.3195187165775401","0.2655414438502674","0.2655414438502674","0.2655414438502674","0.30155414438502676","0.30155414438502676","0.30155414438502676","0.34199532085561496","0.34199532085561496","0.34199532085561496","0.3360628342245989","0.3360628342245989","0.3360628342245989","0.3096590909090909","0.3096590909090909","0.3096590909090909","0.2652072192513369","0.2652072192513369","0.2652072192513369","0.26378676470588236","0.26378676470588236","0.26378676470588236","0.24774398395721925","0.24774398395721925","0.24774398395721925","0.2666276737967914","0.2666276737967914","0.2666276737967914"
"1623","0.3202707219251337","0.3202707219251337","0.3202707219251337","0.2784090909090909","0.2784090909090909","0.2784090909090909","0.31433823529411764","0.31433823529411764","0.31433823529411764","0.3383188502673797","0.3383188502673797","0.3383188502673797","0.35586564171123","0.35586564171123","0.35586564171123","0.33238636363636365","0.33238636363636365","0.33238636363636365","0.27606951871657753","0.27606951871657753","0.27606951871657753","0.2771557486631016","0.2771557486631016","0.2771557486631016","0.2540106951871658","0.2540106951871658","0.2540106951871658","0.27398061497326204","0.27398061497326204","0.27398061497326204"
"1694","0.3030581550802139","0.3030581550802139","0.3030581550802139","0.28860294117647056","0.28860294117647056","0.28860294117647056","0.3174298128342246","0.3174298128342246","0.3174298128342246","0.3536931818181818","0.3536931818181818","0.3536931818181818","0.35051804812834225","0.35051804812834225","0.35051804812834225","0.32595254010695185","0.32595254010695185","0.32595254010695185","0.29010695187165775","0.29010695187165775","0.29010695187165775","0.28091577540106955","0.28091577540106955","0.28091577540106955","0.2716410427807487","0.2716410427807487","0.2716410427807487","0.28308823529411764","0.28308823529411764","0.28308823529411764"
"1764","0.35611631016042783","0.35611631016042783","0.35611631016042783","0.2952038770053476","0.2952038770053476","0.2952038770053476","0.3297125668449198","0.3297125668449198","0.3297125668449198","0.34567179144385024","0.34567179144385024","0.34567179144385024","0.35352606951871657","0.35352606951871657","0.35352606951871657","0.33447526737967914","0.33447526737967914","0.33447526737967914","0.2872660427807487","0.2872660427807487","0.2872660427807487","0.2959558823529412","0.2959558823529412","0.2959558823529412","0.2768215240641711","0.2768215240641711","0.2768215240641711","0.30355949197860965","0.30355949197860965","0.30355949197860965"
"1835","0.31935160427807485","0.31935160427807485","0.31935160427807485","0.27799131016042783","0.27799131016042783","0.27799131016042783","0.33990641711229946","0.33990641711229946","0.33990641711229946","0.3381517379679144","0.3381517379679144","0.3381517379679144","0.34558823529411764","0.34558823529411764","0.34558823529411764","0.34375","0.34375","0.34375","0.2915274064171123","0.2915274064171123","0.2915274064171123","0.299298128342246","0.299298128342246","0.299298128342246","0.2737299465240642","0.2737299465240642","0.2737299465240642","0.29954879679144386","0.29954879679144386","0.29954879679144386"
"1906","0.3411597593582888","0.3411597593582888","0.3411597593582888","0.2886864973262032","0.2886864973262032","0.2886864973262032","0.35745320855614976","0.35745320855614976","0.35745320855614976","0.3483455882352941","0.3483455882352941","0.3483455882352941","0.3693181818181818","0.3693181818181818","0.3693181818181818","0.3477606951871658","0.3477606951871658","0.3477606951871658","0.2677139037433155","0.2677139037433155","0.2677139037433155","0.31308489304812837","0.31308489304812837","0.31308489304812837","0.27456550802139035","0.27456550802139035","0.27456550802139035","0.2868482620320856","0.2868482620320856","0.2868482620320856"
"1976","0.31834893048128343","0.31834893048128343","0.31834893048128343","0.31074532085561496","0.31074532085561496","0.31074532085561496","0.34968248663101603","0.34968248663101603","0.34968248663101603","0.3564505347593583","0.3564505347593583","0.3564505347593583","0.3713235294117647","0.3713235294117647","0.3713235294117647","0.3361463903743315","0.3361463903743315","0.3361463903743315","0.3059826203208556","0.3059826203208556","0.3059826203208556","0.31483957219251335","0.31483957219251335","0.31483957219251335","0.2868482620320856","0.2868482620320856","0.2868482620320856","0.3271223262032086","0.3271223262032086","0.3271223262032086"
"2047","0.33038101604278075","0.33038101604278075","0.33038101604278075","0.3039772727272727","0.3039772727272727","0.3039772727272727","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.34375","0.34375","0.34375","0.37474933155080214","0.37474933155080214","0.37474933155080214","0.34550467914438504","0.34550467914438504","0.34550467914438504","0.30330882352941174","0.30330882352941174","0.30330882352941174","0.32169117647058826","0.32169117647058826","0.32169117647058826","0.29871323529411764","0.29871323529411764","0.29871323529411764","0.3276236631016043","0.3276236631016043","0.3276236631016043"
"2118","0.33940508021390375","0.33940508021390375","0.33940508021390375","0.30873997326203206","0.30873997326203206","0.30873997326203206","0.3318014705882353","0.3318014705882353","0.3318014705882353","0.3483455882352941","0.3483455882352941","0.3483455882352941","0.3678977272727273","0.3678977272727273","0.3678977272727273","0.3474264705882353","0.3474264705882353","0.3474264705882353","0.3266209893048128","0.3266209893048128","0.3266209893048128","0.3225267379679144","0.3225267379679144","0.3225267379679144","0.2993816844919786","0.2993816844919786","0.2993816844919786","0.3282085561497326","0.3282085561497326","0.3282085561497326"
"2188","0.33130013368983957","0.33130013368983957","0.33130013368983957","0.3046457219251337","0.3046457219251337","0.3046457219251337","0.3326370320855615","0.3326370320855615","0.3326370320855615","0.34893048128342247","0.34893048128342247","0.34893048128342247","0.3800133689839572","0.3800133689839572","0.3800133689839572","0.3432486631016043","0.3432486631016043","0.3432486631016043","0.30414438502673796","0.30414438502673796","0.30414438502673796","0.3227774064171123","0.3227774064171123","0.3227774064171123","0.3064839572192513","0.3064839572192513","0.3064839572192513","0.33238636363636365","0.33238636363636365","0.33238636363636365"
"2259","0.3307152406417112","0.3307152406417112","0.3307152406417112","0.2977941176470588","0.2977941176470588","0.2977941176470588","0.34358288770053474","0.34358288770053474","0.34358288770053474","0.3608790106951872","0.3608790106951872","0.3608790106951872","0.36321858288770054","0.36321858288770054","0.36321858288770054","0.35269050802139035","0.35269050802139035","0.35269050802139035","0.30731951871657753","0.30731951871657753","0.30731951871657753","0.3199364973262032","0.3199364973262032","0.3199364973262032","0.29745989304812837","0.29745989304812837","0.29745989304812837","0.3492647058823529","0.3492647058823529","0.3492647058823529"
"2330","0.34567179144385024","0.34567179144385024","0.34567179144385024","0.31525735294117646","0.31525735294117646","0.31525735294117646","0.3311330213903743","0.3311330213903743","0.3311330213903743","0.359375","0.359375","0.359375","0.3564505347593583","0.3564505347593583","0.3564505347593583","0.3513536096256685","0.3513536096256685","0.3513536096256685","0.3079044117647059","0.3079044117647059","0.3079044117647059","0.3391544117647059","0.3391544117647059","0.3391544117647059","0.32085561497326204","0.32085561497326204","0.32085561497326204","0.3428308823529412","0.3428308823529412","0.3428308823529412"
"2400","0.3508522727272727","0.3508522727272727","0.3508522727272727","0.31567513368983957","0.31567513368983957","0.31567513368983957","0.33480949197860965","0.33480949197860965","0.33480949197860965","0.36614304812834225","0.36614304812834225","0.36614304812834225","0.3689839572192513","0.3689839572192513","0.3689839572192513","0.3654745989304813","0.3654745989304813","0.3654745989304813","0.31442179144385024","0.31442179144385024","0.31442179144385024","0.3306316844919786","0.3306316844919786","0.3306316844919786","0.30731951871657753","0.30731951871657753","0.30731951871657753","0.3336397058823529","0.3336397058823529","0.3336397058823529"
"2471","0.34400066844919786","0.34400066844919786","0.34400066844919786","0.32586898395721925","0.32586898395721925","0.32586898395721925","0.33480949197860965","0.33480949197860965","0.33480949197860965","0.3549465240641711","0.3549465240641711","0.3549465240641711","0.37642045454545453","0.37642045454545453","0.37642045454545453","0.3350601604278075","0.3350601604278075","0.3350601604278075","0.325701871657754","0.325701871657754","0.325701871657754","0.323947192513369","0.323947192513369","0.323947192513369","0.31016042780748665","0.31016042780748665","0.31016042780748665","0.3336397058823529","0.3336397058823529","0.3336397058823529"
"2541","0.3481784759358289","0.3481784759358289","0.3481784759358289","0.31233288770053474","0.31233288770053474","0.31233288770053474","0.35670120320855614","0.35670120320855614","0.35670120320855614","0.35920788770053474","0.35920788770053474","0.35920788770053474","0.4063335561497326","0.4063335561497326","0.4063335561497326","0.3420788770053476","0.3420788770053476","0.3420788770053476","0.31776403743315507","0.31776403743315507","0.31776403743315507","0.3358121657754011","0.3358121657754011","0.3358121657754011","0.3154244652406417","0.3154244652406417","0.3154244652406417","0.3397393048128342","0.3397393048128342","0.3397393048128342"
"2612","0.34182820855614976","0.34182820855614976","0.34182820855614976","0.3099933155080214","0.3099933155080214","0.3099933155080214","0.35110294117647056","0.35110294117647056","0.35110294117647056","0.36246657754010697","0.36246657754010697","0.36246657754010697","0.39438502673796794","0.39438502673796794","0.39438502673796794","0.3276236631016043","0.3276236631016043","0.3276236631016043","0.3150066844919786","0.3150066844919786","0.3150066844919786","0.3211898395721925","0.3211898395721925","0.3211898395721925","0.31676136363636365","0.31676136363636365","0.31676136363636365","0.3467580213903743","0.3467580213903743","0.3467580213903743"
"2683","0.3537767379679144","0.3537767379679144","0.3537767379679144","0.33948863636363635","0.33948863636363635","0.33948863636363635","0.3547794117647059","0.3547794117647059","0.3547794117647059","0.3669786096256685","0.3669786096256685","0.3669786096256685","0.3741644385026738","0.3741644385026738","0.3741644385026738","0.3807653743315508","0.3807653743315508","0.3807653743315508","0.3185995989304813","0.3185995989304813","0.3185995989304813","0.3470922459893048","0.3470922459893048","0.3470922459893048","0.31575868983957217","0.31575868983957217","0.31575868983957217","0.33982286096256686","0.33982286096256686","0.33982286096256686"
"2753","0.3327205882352941","0.3327205882352941","0.3327205882352941","0.3377339572192513","0.3377339572192513","0.3377339572192513","0.35795454545454547","0.35795454545454547","0.35795454545454547","0.3643883689839572","0.3643883689839572","0.3643883689839572","0.3716577540106952","0.3716577540106952","0.3716577540106952","0.3678977272727273","0.3678977272727273","0.3678977272727273","0.33088235294117646","0.33088235294117646","0.33088235294117646","0.33748328877005346","0.33748328877005346","0.33748328877005346","0.32545120320855614","0.32545120320855614","0.32545120320855614","0.35101938502673796","0.35101938502673796","0.35101938502673796"
"2824","0.34308155080213903","0.34308155080213903","0.34308155080213903","0.32227606951871657","0.32227606951871657","0.32227606951871657","0.35310828877005346","0.35310828877005346","0.35310828877005346","0.36656082887700536","0.36656082887700536","0.36656082887700536","0.36363636363636365","0.36363636363636365","0.36363636363636365","0.33907085561497324","0.33907085561497324","0.33907085561497324","0.3261196524064171","0.3261196524064171","0.3261196524064171","0.34049131016042783","0.34049131016042783","0.34049131016042783","0.3334725935828877","0.3334725935828877","0.3334725935828877","0.35862299465240643","0.35862299465240643","0.35862299465240643"
