"Step","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_htl_10 - validation/gen/accuracy/total__MAX","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_etl_10 - validation/gen/accuracy/total__MAX","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total__MIN","cogs/curr_sort_chia_amb_10 - validation/gen/accuracy/total__MAX","cogs_full_42 - validation/gen/accuracy/total","cogs_full_42 - validation/gen/accuracy/total__MIN","cogs_full_42 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_htl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_etl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/ip_amb_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_htl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_etl_10 - validation/gen/accuracy/total__MAX","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total__MIN","curr_sort/cogs/bl_amb_10 - validation/gen/accuracy/total__MAX"
"358","0.20333333333333334","0.20333333333333334","0.20333333333333334","0.00028571428571428574","0.00028571428571428574","0.00028571428571428574","0.14761904761904762","0.14761904761904762","0.14761904761904762","0.12485714285714286","0.12485714285714286","0.12485714285714286","0.18885714285714286","0.18885714285714286","0.18885714285714286","0","0","0","0.01838095238095238","0.01838095238095238","0.01838095238095238","0.20114285714285715","0.20114285714285715","0.20114285714285715","0","0","0","0.17123809523809524","0.17123809523809524","0.17123809523809524"
"390","0.21333333333333335","0.21333333333333335","0.21333333333333335","0.0017619047619047618","0.0017619047619047618","0.0017619047619047618","0.213","0.213","0.213","0.14409523809523808","0.14409523809523808","0.14409523809523808","0.18261904761904763","0.18261904761904763","0.18261904761904763","0","0","0","0.10795238095238095","0.10795238095238095","0.10795238095238095","0.22495238095238096","0.22495238095238096","0.22495238095238096","0","0","0","0.19542857142857142","0.19542857142857142","0.19542857142857142"
"423","0.22642857142857142","0.22642857142857142","0.22642857142857142","0.03957142857142857","0.03957142857142857","0.03957142857142857","0.18419047619047618","0.18419047619047618","0.18419047619047618","0.2009047619047619","0.2009047619047619","0.2009047619047619","0.202","0.202","0.202","0","0","0","0.2040952380952381","0.2040952380952381","0.2040952380952381","0.242","0.242","0.242","0","0","0","0.15971428571428573","0.15971428571428573","0.15971428571428573"
"456","0.17666666666666667","0.17666666666666667","0.17666666666666667","0.07976190476190476","0.07976190476190476","0.07976190476190476","0.222","0.222","0.222","0.21442857142857144","0.21442857142857144","0.21442857142857144","0.2621428571428571","0.2621428571428571","0.2621428571428571","0","0","0","0.19966666666666666","0.19966666666666666","0.19966666666666666","0.21423809523809523","0.21423809523809523","0.21423809523809523","0.002857142857142857","0.002857142857142857","0.002857142857142857","0.1431904761904762","0.1431904761904762","0.1431904761904762"
"488","0.24009523809523808","0.24009523809523808","0.24009523809523808","0.05971428571428571","0.05971428571428571","0.05971428571428571","0.23404761904761906","0.23404761904761906","0.23404761904761906","0.1941904761904762","0.1941904761904762","0.1941904761904762","0.20542857142857143","0.20542857142857143","0.20542857142857143","0.00004761904761904762","0.00004761904761904762","0.00004761904761904762","0.24204761904761904","0.24204761904761904","0.24204761904761904","0.2021904761904762","0.2021904761904762","0.2021904761904762","0.006238095238095238","0.006238095238095238","0.006238095238095238","0.19028571428571428","0.19028571428571428","0.19028571428571428"
"521","0.2804285714285714","0.2804285714285714","0.2804285714285714","0.11619047619047619","0.11619047619047619","0.11619047619047619","0.25585714285714284","0.25585714285714284","0.25585714285714284","0.20885714285714285","0.20885714285714285","0.20885714285714285","0.21109523809523809","0.21109523809523809","0.21109523809523809","0.026476190476190476","0.026476190476190476","0.026476190476190476","0.28485714285714286","0.28485714285714286","0.28485714285714286","0.2340952380952381","0.2340952380952381","0.2340952380952381","0.06161904761904762","0.06161904761904762","0.06161904761904762","0.24776190476190477","0.24776190476190477","0.24776190476190477"
"553","0.30985714285714283","0.30985714285714283","0.30985714285714283","0.11514285714285714","0.11514285714285714","0.11514285714285714","0.3180952380952381","0.3180952380952381","0.3180952380952381","0.21895238095238095","0.21895238095238095","0.21895238095238095","0.30004761904761906","0.30004761904761906","0.30004761904761906","0.11238095238095239","0.11238095238095239","0.11238095238095239","0.20442857142857143","0.20442857142857143","0.20442857142857143","0.31961904761904764","0.31961904761904764","0.31961904761904764","0.13123809523809524","0.13123809523809524","0.13123809523809524","0.23266666666666666","0.23266666666666666","0.23266666666666666"
"586","0.310952380952381","0.310952380952381","0.310952380952381","0.1397142857142857","0.1397142857142857","0.1397142857142857","0.3598571428571429","0.3598571428571429","0.3598571428571429","0.2517142857142857","0.2517142857142857","0.2517142857142857","0.30414285714285716","0.30414285714285716","0.30414285714285716","0.09490476190476191","0.09490476190476191","0.09490476190476191","0.25985714285714284","0.25985714285714284","0.25985714285714284","0.26604761904761903","0.26604761904761903","0.26604761904761903","0.12942857142857142","0.12942857142857142","0.12942857142857142","0.2022857142857143","0.2022857142857143","0.2022857142857143"
"619","0.29714285714285715","0.29714285714285715","0.29714285714285715","0.13942857142857143","0.13942857142857143","0.13942857142857143","0.30338095238095236","0.30338095238095236","0.30338095238095236","0.22376190476190477","0.22376190476190477","0.22376190476190477","0.16504761904761905","0.16504761904761905","0.16504761904761905","0.1061904761904762","0.1061904761904762","0.1061904761904762","0.21266666666666667","0.21266666666666667","0.21266666666666667","0.30257142857142855","0.30257142857142855","0.30257142857142855","0.15","0.15","0.15","0.1810952380952381","0.1810952380952381","0.1810952380952381"
"651","0.30004761904761906","0.30004761904761906","0.30004761904761906","0.2073809523809524","0.2073809523809524","0.2073809523809524","0.3122857142857143","0.3122857142857143","0.3122857142857143","0.3038571428571429","0.3038571428571429","0.3038571428571429","0.3177142857142857","0.3177142857142857","0.3177142857142857","0.16414285714285715","0.16414285714285715","0.16414285714285715","0.2987619047619048","0.2987619047619048","0.2987619047619048","0.3617142857142857","0.3617142857142857","0.3617142857142857","0.19676190476190475","0.19676190476190475","0.19676190476190475","0.1982857142857143","0.1982857142857143","0.1982857142857143"
